Especie,Peso,Longitud1,Longitud2,Longitud3,Longitud4,Alto,Ancho
Tilapia,242,23.2,25.4,30,12.52,11.52,4.02
Tilapia,290,24,26.3,31.2,16.48,12.48,4.3056
Tilapia,340,23.9,26.5,31.1,16.3778,12.3778,4.6961
Tilapia,363,26.3,29,33.5,13.73,12.73,4.4555
Tilapia,430,26.5,29,34,14.444,12.444,5.134
Tilapia,450,26.8,29.7,34.7,19.6024,13.6024,4.9274
Tilapia,500,26.8,29.7,34.5,21.1795,14.1795,5.2785
Tilapia,390,27.6,30,35,14.67,12.67,4.69
Tilapia,450,27.6,30,35.1,18.0049,14.0049,4.8438
Tilapia,500,28.5,30.7,36.2,21.2266,14.2266,4.9594
Tilapia,475,28.4,31,36.2,19.2628,14.2628,5.1042
Tilapia,500,28.7,31,36.2,17.3714,14.3714,4.8146
Tilapia,500,29.1,31.5,36.4,14.7592,13.7592,4.368
Tilapia,340,29.5,32,37.3,15.9129,13.9129,5.0728
Tilapia,600,29.4,32,37.2,18.9544,14.9544,5.1708
Tilapia,600,29.4,32,37.2,20.438,15.438,5.58
Tilapia,700,30.4,33,38.3,16.8604,14.8604,5.2854
Tilapia,700,30.4,33,38.5,16.938,14.938,5.1975
Tilapia,610,30.9,33.5,38.6,17.633,15.633,5.1338
Tilapia,650,31,33.5,38.7,19.4738,14.4738,5.7276
Tilapia,575,31.3,34,39.5,20.1285,15.1285,5.5695
Tilapia,685,31.4,34,39.2,17.9936,15.9936,5.3704
Tilapia,620,31.5,34.5,39.7,17.5227,15.5227,5.2801
Tilapia,680,31.8,35,40.6,21.4686,15.4686,6.1306
Tilapia,700,31.9,35,40.5,22.2405,16.2405,5.589
Tilapia,725,31.8,35,40.9,17.36,16.36,6.0532
Tilapia,720,32,35,40.6,18.3618,16.3618,6.09
Tilapia,714,32.7,36,41.5,19.517,16.517,5.8515
Tilapia,850,32.8,36,41.6,21.8896,16.8896,6.1984
Tilapia,1000,33.5,37,42.6,23.957,18.957,6.603
Tilapia,920,35,38.5,44.1,24.0369,18.0369,6.3063
Tilapia,955,35,38.5,44,24.084,18.084,6.292
Tilapia,925,36.2,39.5,45.3,21.7542,18.7542,6.7497
Tilapia,975,37.4,41,45.9,20.6354,18.6354,6.7473
Tilapia,950,38,41,46.5,21.6235,17.6235,6.3705
Rutilo,40,12.9,14.1,16.2,9.1472,4.1472,2.268
Rutilo,69,16.5,18.2,20.3,11.2983,5.2983,2.8217
Rutilo,78,17.5,18.8,21.2,12.5756,5.5756,2.9044
Rutilo,87,18.2,19.8,22.2,11.6166,5.6166,3.1746
Rutilo,120,18.6,20,22.2,11.216,6.216,3.5742
Rutilo,0,19,20.5,22.8,12.4752,6.4752,3.3516
Rutilo,110,19.1,20.8,23.1,13.1677,6.1677,3.3957
Rutilo,120,19.4,21,23.7,8.1146,6.1146,3.2943
Rutilo,150,20.4,22,24.7,6.8045,5.8045,3.7544
Rutilo,145,20.5,22,24.3,7.6339,6.6339,3.5478
Rutilo,160,20.5,22.5,25.3,8.0334,7.0334,3.8203
Rutilo,140,21,22.5,25,12.55,6.55,3.325
Rutilo,160,21.1,22.5,25,11.4,6.4,3.8
Rutilo,169,22,24,27.2,12.5344,7.5344,3.8352
Rutilo,161,22,23.4,26.7,8.9153,6.9153,3.6312
Rutilo,200,22.1,23.5,26.8,13.3968,7.3968,4.1272
Rutilo,180,23.6,25.2,27.9,14.0866,7.0866,3.906
Rutilo,290,24,26,29.2,12.8768,8.8768,4.4968
Rutilo,272,25,27,30.6,14.568,8.568,4.7736
Rutilo,390,29.5,31.7,35,15.485,9.485,5.355
salmon,270,23.6,26,28.7,15.3804,8.3804,4.2476
salmon,270,24.1,26.5,29.3,10.1454,8.1454,4.2485
salmon,306,25.6,28,30.8,9.778,8.778,4.6816
salmon,540,28.5,31,34,17.744,10.744,6.562
salmon,800,33.7,36.4,39.6,13.7612,11.7612,6.5736
salmon,1000,37.3,40,43.5,17.354,12.354,6.525
Parkki,55,13.5,14.7,16.5,7.8475,6.8475,2.3265
Parkki,60,14.3,15.5,17.4,10.5772,6.5772,2.3142
Parkki,90,16.3,17.7,19.8,11.4052,7.4052,2.673
Parkki,120,17.5,19,21.3,12.3922,8.3922,2.9181
Parkki,150,18.4,20,22.4,9.8928,8.8928,3.2928
Parkki,140,19,20.7,23.2,12.5376,8.5376,3.2944
Parkki,170,19,20.7,23.2,10.396,9.396,3.4104
Parkki,145,19.8,21.5,24.1,13.7364,9.7364,3.1571
Parkki,200,21.2,23,25.8,13.3458,10.3458,3.6636
Parkki,273,23,25,28,17.088,11.088,4.144
Parkki,300,24,26,29,18.368,11.368,4.234
Perca,5.9,7.5,8.4,8.8,5.112,2.112,1.408
Perca,32,12.5,13.7,14.7,9.528,3.528,1.9992
Perca,40,13.8,15,16,4.824,3.824,2.432
Perca,51.5,15,16.2,17.2,6.5924,4.5924,2.6316
Perca,70,15.7,17.4,18.5,5.588,4.588,2.9415
Perca,100,16.2,18,19.2,10.2224,5.2224,3.3216
Perca,78,16.8,18.7,19.4,6.1992,5.1992,3.1234
Perca,80,17.2,19,20.2,11.6358,5.6358,3.0502
Perca,85,17.8,19.6,20.8,8.1376,5.1376,3.0368
Perca,85,18.2,20,21,8.082,5.082,2.772
Perca,110,19,21,22.5,8.6925,5.6925,3.555
Perca,115,19,21,22.5,11.9175,5.9175,3.3075
Perca,125,19,21,22.5,8.6925,5.6925,3.6675
Perca,130,19.3,21.3,22.8,13.384,6.384,3.534
Perca,120,20,22,23.5,10.11,6.11,3.4075
Perca,120,20,22,23.5,11.64,5.64,3.525
Perca,130,20,22,23.5,8.11,6.11,3.525
Perca,135,20,22,23.5,12.875,5.875,3.525
Perca,110,20,22,23.5,7.5225,5.5225,3.995
Perca,130,20.5,22.5,24,12.856,5.856,3.624
Perca,150,20.5,22.5,24,12.792,6.792,3.624
Perca,145,20.7,22.7,24.2,12.9532,5.9532,3.63
Perca,150,21,23,24.5,9.2185,5.2185,3.626
Perca,170,21.5,23.5,25,8.275,6.275,3.725
Perca,225,22,24,25.5,10.293,7.293,3.723
Perca,145,22,24,25.5,12.375,6.375,3.825
Perca,188,22.6,24.6,26.2,9.7334,6.7334,4.1658
Perca,180,23,25,26.5,8.4395,6.4395,3.6835
Perca,197,23.5,25.6,27,11.561,6.561,4.239
Perca,218,25,26.5,28,8.168,7.168,4.144
Perca,300,25.2,27.3,28.7,14.323,8.323,5.1373
Perca,260,25.4,27.5,28.9,12.1672,7.1672,4.335
Perca,265,25.4,27.5,28.9,13.0516,7.0516,4.335
Perca,250,25.4,27.5,28.9,14.2828,7.2828,4.5662
Perca,250,25.9,28,29.4,8.8204,7.8204,4.2042
Perca,300,26.9,28.7,30.1,14.5852,7.5852,4.6354
Perca,320,27.8,30,31.6,9.6156,7.6156,4.7716
Perca,514,30.5,32.8,34,11.03,10.03,6.018
Perca,556,32,34.5,36.5,11.2565,10.2565,6.3875
Perca,840,32.5,35,37.3,12.4884,11.4884,7.7957
Perca,685,34,36.5,39,11.881,10.881,6.864
Perca,700,34,36,38.3,14.6091,10.6091,6.7408
Perca,700,34.5,37,39.4,14.835,10.835,6.2646
Perca,690,34.6,37,39.3,11.5717,10.5717,6.3666
Perca,900,36.5,39,41.4,18.1366,11.1366,7.4934
Perca,650,36.5,39,41.4,15.1366,11.1366,6.003
Perca,820,36.6,39,41.3,18.4313,12.4313,7.3514
Perca,850,36.9,40,42.3,13.9286,11.9286,7.1064
Perca,900,37,40,42.5,16.73,11.73,7.225
Perca,1015,37,40,42.4,18.3808,12.3808,7.4624
Perca,820,37.1,40,42.5,14.135,11.135,6.63
Perca,1100,39,42,44.6,15.8002,12.8002,6.8684
Perca,1000,39.8,43,45.2,18.9328,11.9328,7.2772
Perca,1100,40.1,43,45.5,13.5125,12.5125,7.4165
Perca,1000,40.2,43.5,46,18.604,12.604,8.142
Perca,1000,41.1,44,46.6,19.4888,12.4888,7.5958
